"id","municipio_id","nombre","created_at","updated_at"
"152","44","San Francisco Javier",,
"153","21","Meanguera del Golfo",,
"154","23","Delicias de Concepción",,
"155","23","El Divisadero",,
"156","23","Gualococti",,
"157","23","Guatajiagua",,
"158","23","Jocoro",,
"159","23","Lolotiquillo",,
"160","23","Osicala",,
"161","23","San Carlos",,
"162","23","San Francisco Gotera",,
"163","23","San Simón",,
"164","23","Sensembra",,
"165","23","Sociedad",,
"166","23","Yamabal",,
"167","23","Yoloaiquín",,
"168","24","Ciudad Barrios",,
"169","24","Sesori",,
"170","24","Nuevo Edén de San Juan",,
"171","24","San Gerardo",,
"172","24","San Luis de la Reina",,
"173","24","Carolina",,
"174","24","San Antonio",,
"175","24","Chapeltique",,
"176","26","Nueva Guadalupe",,
"177","26","San Jorge",,
"178","26","San Rafael Oriente",,
"179","27","Aguilares",,
"180","27","El Paisnal",,
"181","27","Guazapa",,
"182","28","Apopa",,
"183","28","Nejapa",,
"184","29","Ilopango",,
"185","29","San Martín",,
"186","25","San Miguel",,
"187","25","Comacarán",,
"188","25","Uluazapa",,
"189","25","Moncagua",,
"190","25","Quelepa",,
"191","25","Chirilagua",,
"192","26","Chinameca",,
"193","26","El Tránsito",,
"194","26","Lolotique",,
"195","29","Soyapango",,
"196","29","Tonacatepeque",,
"197","30","Ayutuxtepeque",,
"198","30","Mejicanos",,
"199","32","Apastepeque",,
"200","32","Santa Clara",,
"201","32","San Ildefonso",,
"202","32","San Esteban Catarina",,
"203","32","San Sebastián",,
"204","32","San Lorenzo",,
"205","30","Cuscatancingo",,
"206","30","Delgado",,
"207","30","San Salvador",,
"208","31","San Marcos",,
"209","31","Santo Tomás",,
"210","31","Santiago Texacuangos",,
"211","31","Panchimalco",,
"212","31","Rosario de Mora",,
"213","32","Santo Domingo",,
"214","33","San Vicente",,
"215","33","Guadalupe",,
"216","33","San Cayetano Istepeque",,
"217","33","Tecoluca",,
"218","33","Tepetitán",,
"219","33","Verapaz",,
"220","34","Masahuat",,
"221","34","Metapán",,
"222","34","Santa Rosa Guachipilín",,
"223","34","Texistepeque",,
"224","35","Santa Ana",,
"225","36","Coatepeque",,
"226","36","El Congo",,
"227","37","Candelaria de la Frontera",,
"228","37","Chalchuapa",,
"229","37","El Porvenir",,
"230","37","San Antonio Pajonal",,
"231","37","San Sebastián Salitrillo",,
"232","37","Santiago de la Frontera",,
"233","38","Juayúa",,
"234","38","Nahuizalco",,
"235","38","Salcoatitán",,
"236","38","Santa Catarina Masahuat",,
"237","39","Sonsonate",,
"238","39","Sonzacate",,
"239","39","Nahulingo",,
"240","39","San Antonio del Monte",,
"241","39","Santo Domingo de Guzmán",,
"242","40","Armenia",,
"243","40","Caluco",,
"244","40","Cuisnahuat",,
"245","40","Izalco",,
"246","40","San Julián",,
"247","40","Santa Isabel Ishuatán",,
"248","41","Acajutla",,
"249","42","Alegría",,
"250","42","Berlín",,
"251","42","El Triunfo",,
"252","42","Estanzuelas",,
"253","42","Jucuapa",,
"254","42","Mercedes Umaña",,
"255","42","Nueva Granada",,
"256","42","San Buenaventura",,
"257","42","Santiago de María",,
"258","43","California",,
"259","43","Concepción Batres",,
"260","43","Ereguayquín",,
"261","43","Jucuarán",,
"262","43","Ozatlán",,
